movie_info_ID,genre_ID
266,11
266,13
266,18
267,3
267,8
267,4
267,9
267,2
267,15
268,1
268,4
268,5
269,7
269,15
270,4
271,19
271,10
271,1
271,7
272,1
272,2
272,3
272,16
273,2
273,9
274,5
274,7
274,18
275,1
275,7
275,13
275,18
276,18
276,11
277,1
277,18
277,5
278,7
279,11
279,18
280,7
280,9
281,16
281,1
281,2
282,3
282,16
282,2
283,7
283,4
284,11
284,18
285,11
285,13
285,18
286,7
286,2
286,15
286,1
286,10
287,16
287,18
287,13
288,1
288,9
288,2
290,2
290,9
290,1
291,8
291,2
291,4
291,9
292,9
292,2
292,1
293,4
293,5
294,1
294,4
294,2
295,3
295,7
295,9
295,2
296,3
296,1
296,2
296,5
296,4
296,8
297,18
297,11
298,1
298,15
298,3
299,2
299,1
299,9
300,11
300,13
300,18
301,15
301,4
302,8
302,3
302,9
302,12
302,4
302,2
303,3
303,2
303,8
303,9
304,3
304,2
304,8
304,4
305,3
305,4
305,2
305,8
306,14
307,18
307,7
308,7
308,10
309,9
309,1
309,2
310,7
310,15
311,16
311,2
311,18
312,11
312,13
313,1
313,16
313,18
314,11
315,11
315,18
315,16
316,1
316,18
316,11
317,1
317,5
317,18
318,18
319,18
320,6
321,3
321,8
321,4
321,16
322,7
323,3
323,1
323,9
323,16
324,3
324,7
324,13
324,9
325,11
325,16
325,1
326,3
326,4
327,13
327,18
328,8
328,3
328,7
330,1
330,2
330,16
331,7
331,15
332,3
332,4
332,9
332,2
333,2
333,9
333,1
334,11
334,18
334,4
335,3
335,4
335,8
335,2
336,3
336,7
336,2
336,16
337,3
337,8
337,9
338,4
338,2
338,9
338,3
338,8
339,9
339,4
339,2
340,1
340,16
340,4
340,8
341,3
341,4
341,15
342,1
342,3
342,16
343,4
343,16
343,2
344,1
344,2
344,4
344,16
344,8
345,15
345,8
345,3
346,15
346,7
347,15
347,4
348,11
349,13
349,9
349,18
350,3
350,2
350,8
350,4
351,9
351,7
352,1
352,5
353,4
353,2
353,16
354,4
354,9
354,15
355,3
355,4
355,8
356,2
356,1
356,16
357,11
357,18
358,1
358,2
358,4
359,4
360,1
360,13
360,16
360,18
361,7
361,2
361,8
362,1
362,2
362,18
362,19
362,13
363,1
363,2
363,9
364,3
364,17
364,9
364,1
365,7
365,10
366,3
366,2
367,1
367,4
367,5
367,18
368,11
369,3
369,8
369,4
369,16
370,11
370,13
370,18
371,3
371,8
371,2
371,9
371,4
372,3
372,1
372,4
373,1
373,2
373,9
373,16
373,4
374,4
375,7
375,2
376,3
376,9
377,3
377,7
377,13
377,9
378,13
378,2
378,4
378,5
379,16
379,1
379,2
380,5
380,11
380,13
382,8
382,3
382,2
382,4
382,9
383,9
383,2
383,3
383,4
383,8
384,3
384,4
384,8
384,9
385,13
385,18
385,11
386,3
386,8
386,9
386,1
386,2
387,8
387,9
388,3
388,8
388,2
388,4
389,1
389,2
389,4
390,2
390,3
390,8
391,1
391,18
392,4
392,9
392,8
392,2
393,7
393,10
394,1
394,16
394,7
395,16
395,1
395,2
396,1
396,18
397,9
397,2
397,8
400,3
400,9
400,1
400,17
401,1
401,16
401,2
402,3
402,2
402,4
402,8
403,11
404,3
404,8
404,9
405,15
405,4
406,15
406,3
406,7
407,4
407,9
407,3
407,15
407,2
407,8
408,3
408,2
408,1
408,9
409,1
409,5
409,18
410,18
410,13
410,7
410,11
411,13
411,18
411,11
412,1
412,18
413,11
414,7
415,16
415,2
415,4
416,1
416,7
417,7
417,5
418,3
418,8
418,2
420,11
420,9
420,18
421,2
421,8
421,3
421,1
421,4
422,4
422,7
423,7
423,2
423,9
424,1
424,5
424,18
425,7
425,10
425,17
426,3
426,8
426,2
426,7
426,4
427,7
427,4
428,19
428,7
428,1
429,3
429,4
430,7
431,1
431,18
432,9
432,2
432,4
433,15
433,7
434,1
434,5
434,4
434,2
435,7
436,8
436,3
436,4
436,16
437,1
437,5
437,18
438,8
438,2
439,3
439,1
439,9
440,11
440,18
441,11
441,18
442,1
442,2
442,9
443,11
444,4
445,11
446,16
446,4
446,7
447,15
447,7
448,7
449,16
449,18
449,11
450,9
450,7
450,15
452,7
452,1
