movie_info_ID,title,year,imdb_score,original_language,budget,revenue,country
5230,Natural Born Killers (1994),1994,71,English,34000000,50283563,AU
5231,Project Power (2020),2020,65,English,85100000,0,AU
5232,StarDog and TurboCat (2019),2019,72,English,2100000,585443,AU
5233,In the Shadow of the Moon (2019),2019,61,English,2000000,2175587,AU
5234,Closer (2005),2005,68,English,35000000,116148537,AU
5235,King Kong (1933),1933,76,English,207000000,550517357,US
5238,Halloween II (2009),2009,54,English,2500000,25533818,US
5239,The Wall (2017),2017,63,English,3000000,4495262,AU
5240,Traffic (2001),2001,71,English,48000000,208300000,AU
5241,Swapping: Perfect Neighbor (2019),2019,47,Korean,135200000,947468745,KR
5242,The Healer (2016),2016,72,English,96000000,639794953,CA
5243,Memoirs of a Geisha (2006),2006,77,English,85000000,161510853,AU
5244,Uptown Girls (2003),2003,66,English,20000000,44617342,US
5245,Candyman (1993),1993,66,English,6000000,25792310,AU
5246,Thumbelina (1994),1994,65,English,28000000,11373501,US
5247,Mercenaries (2014),2014,53,English,110800000,514469805,US
5248,Heartbreak Ridge (1986),1986,68,English,15000000,42724017,AU
5249,The Awakener (2018),2018,63,Portuguese,3500000,2000000,BR
5250,The Last Flight of Noah's Ark (1980),1980,56,English,20502000,11000000,US
5251,Out for Justice (1991),1991,61,English,14000000,39673161,AU
5252,Hitch Hike (1977),1977,68,Italian,116200000,572201947,IT
5253,Pokémon the Movie: Black - Victini and Reshiram (2012),2012,66,Japanese,102000000,677502761,AU
5254,Polar Bear (2022),2022,74,English,79500000,708023892,US
5255,Cranston Academy: Monster Zone (2021),2021,61,English,12400000,641308,AU
5256,The Perfect Storm (2000),2000,64,English,120000000,328711434,AU
5257,Jin-Roh: The Wolf Brigade (2000),2000,74,Japanese,90940000,436562886,JP
5258,Isn't It Romantic (2019),2019,62,English,92400000,398140613,AU
5259,Casualties of War (1990),1990,72,English,22500000,18671317,AU
5260,In the Name of the King: A Dungeon Siege Tale (2008),2008,47,English,60000000,13233220,AU
5261,Sahara (2005),2005,59,English,145000000,121645390,AU
5262,Bleach the Movie: The DiamondDust Rebellion (2007),2007,67,Japanese,107000000,555345100,JP
5263,DC Spotlight: SHAZAM! (2019),2019,0,English,241940000,175269998,US
5264,Insensate (2021),2021,68,Portuguese,148600000,575247768,BR
5265,Polycarp (2015),2015,71,English,89600000,547506975,US
5266,Starship Troopers 3: Marauder (2008),2008,47,English,9000000,63503309,AU
5267,Daughters of Eve (1985),1985,54,Tagalog,143000000,268943590,PH
5268,The Grudge 2 (2006),2006,55,English,20000000,70743839,US
5269,Boys on the Rooftop (2016),2016,44," Spanish, Castilian",132800000,545186295,MX
5270,Amadeus (1984),1984,80,English,18000000,51973029,AU
5271,The Snitch Cartel (2011),2011,70," Spanish, Castilian",98600000,674711852,CO
5272,Naked Poison (2000),2000,52,Cantonese,121600000,346296946,HK
5273,When Harry Met Sally... (1989),1989,74,English,16000000,92823546,AU
5274,The Big Boss (1971),1971,72,Chinese,100000,117017287,HK
5275,Batman: Gotham by Gaslight (2018),2018,67,English,1000000,3469151,AU
5276,How Much Do You Love Me? (2005),2005,57,French,107800000,760198381,FR
5277,Boogie Nights (1998),1998,76,English,15000000,43111725,AU
5278,Project A (1983),1983,72,Cantonese,120600000,505740474,HK
5279,The Hunt (2013),2013,81,Danish,18200000,12400979,AU
5280,Bantú Mama (2022),2022,53," Spanish, Castilian",119600000,362461687,US
5281,Hubie Halloween (2020),2020,60,English,14000000,159353270,AU
5282,Charlotte's Web (2006),2006,62,English,85000000,144000000,AU
5283,Inside Llewyn Davis (2014),2014,72,English,11000000,32943247,AU
